Na,CDNC
2167.7215, 321.5278
2170.3586, 321.5278
2172.9958, 321.5278
2175.6329, 321.5278
2178.27, 321.5278
2180.9072, 321.5278
2183.5443, 321.5278
2186.1814, 321.5278
2188.8186, 321.5278
2191.4557, 321.5278
2194.0928, 321.5278
2196.73, 321.5278
2199.3671, 321.5278
2202.0042, 321.5278
2204.6414, 321.5278
2207.2785, 322.2222
2209.9156, 322.2222
2212.5527, 322.2222
2215.1899, 322.2222
2217.827, 322.2222
2220.4641, 322.2222
2223.1013, 322.2222
2225.7384, 322.2222
2228.3755, 322.2222
2231.0127, 322.2222
2233.6498, 322.2222
2236.2869, 322.9167
2238.9241, 322.9167
2241.5612, 322.9167
2244.1983, 322.9167
2246.8354, 322.9167
2249.4726, 322.9167
2252.1097, 322.9167
2254.7468, 322.9167
2257.384, 322.9167
2260.0211, 322.9167
2262.6582, 322.9167
2265.2953, 322.9167
2267.9325, 322.9167
2270.5695, 323.6111
2273.2068, 323.6111
2275.8439, 323.6111
2278.4809, 323.6111
2281.1181, 323.6111
2283.7553, 323.6111
